Resource Number,Resource Title,Author,Species - Common Name,Species - Scientific Name,Sector,Regulation,Activity,Resource Type,Taxanomic Group,URL: ,PDF Required?,Tot # of PDFs Required:,23,URL to actual document (to be included in PDF coversheet)
41,Western Silvery Aster  ,Ontario Ministry of Natural Resources,Western Silvery Aster,Symphyotrichum sericeum,~,Endangered species; Western silvery aster habitat,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_W_SLVRY_ASTR_EN.html,,,,
42,Wood Turtle  ,Ontario Ministry of Natural Resources,Wood Turtle,Glyptemys insculpta,~,Endangered species; Wood turtle habitat ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_WOOD_TRTL_EN.html,,,,
43,Woodland Caribou (Forest-dwelling boreal population)  ,Ontario Ministry of Natural Resources,Woodland Caribou,Rangifer tarandus caribou,~,Threatened species; Woodland caribou (forest-dwelling boreal population) — cast antlers; Forest operations in Crown forests,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_WDLND_CRB_EN.html,,,,
44,Acadian Flycatcher ,Ontario Ministry of Natural Resources,Acadian Flycatcher ,Empidonax virescens,~,Endangered species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ACDN_FLYCTCH_EN.html,,,,
45,Allegheny Mountain Dusky Salamander ,Ontario Ministry of Natural Resources,Allegheny Mountain Dusky Salamander ,Desmognathus ochrophaeus,~,Endangered species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMTN_DSKY_SLMNDR_EN.html,,,,
46,American Burying Beetle ,Ontario Ministry of Natural Resources,American Burying Beetle ,Nicrophorus americanus,~,Extirpated species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMER_BURY_BEETL_EN.html,,,,
47,American Chestnut ,Ontario Ministry of Natural Resources,American Chestnut ,Castanea dentata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_CHESTNUT_EN.html,,,,
48,American Columbo ,Ontario Ministry of Natural Resources,American Columbo ,Frasera caroliniensis,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_COLUMBO_EN.html,,,,
49,American Ginseng ,Ontario Ministry of Natural Resources,American Ginseng ,Panax quinquefolius,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_GINSENG_EN.html,,,,
50,American Hart's-tongue Fern ,Ontario Ministry of Natural Resources,American Hart's-tongue Fern ,Asplenium scolopendrium,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_HRTS_TNG_FRN_EN.html,,,,
51,American Water-willow ,Ontario Ministry of Natural Resources,American Water-willow ,Justicia americana,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_WTR_WLLW_EN.html,,,,
52,Aweme Borer Moth ,Ontario Ministry of Natural Resources,Aweme Borer Moth ,Papaipema aweme,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AWM_BRR_MTH_EN.html,,,,
53,Barn Swallow ,Ontario Ministry of Natural Resources,Barn Swallow ,Hirundo rustica,~,Threatened species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRN_SWLLW_EN.html,,,,
54,Beluga ,Ontario Ministry of Natural Resources,Beluga ,Delphinapterus leucas,~,Special concern species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLG_EN.html,,,,
55,Bird's-foot Violet ,Ontario Ministry of Natural Resources,Bird's-foot Violet ,Viola pedata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRDS_FT_VLT_EN.html,,,,
56,Black Redhorse ,Ontario Ministry of Natural Resources,Black Redhorse ,Moxostoma duquesnei,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLACK_REDHORSE_EN.html,,,,
57,Black Tern ,Ontario Ministry of Natural Resources,Black Tern ,Chlidonias niger,~,Special concern species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLCK_TRN_EN.html,,,,
58,Blackstripe Topminnow ,Ontario Ministry of Natural Resources,Blackstripe Topminnow ,Fundulus notatus,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLCKSTRP_TPMNNW_EN.html,,,,
59,Blanchard's Cricket Frog (Northern Cricket Frog) ,Ontario Ministry of Natural Resources,Blanchard's Cricket Frog (Northern Cricket Frog) ,Acris crepitanis,~,Extirpated species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLNCH_CRKT_FROG_EN.html,,,,
60,Blue Ash ,Ontario Ministry of Natural Resources,Blue Ash ,Fraxinus quadrangulata,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLUE_ASH_EN.html,,,,
61,Blue Racer ,Ontario Ministry of Natural Resources,Blue Racer ,Coluber constrictor foxii,~,Endangered species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLUE_RCR_EN.html,,,,
62,Bluehearts ,Ontario Ministry of Natural Resources,Bluehearts ,Buchnera americana,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLUEHEARTS_EN.html,,,,
63,Blunt-lobed Woodsia ,Ontario Ministry of Natural Resources,Blunt-lobed Woodsia ,Woodsia obtusa,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLNTLBD_WDSIA_EN.html,,,,
64,Bogbean Buckmoth ,Ontario Ministry of Natural Resources,Bogbean Buckmoth ,Hemileuca sp.,~,Endangered species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BGBN_BCKMTH_EN.html,,,,
65,Branched Bartonia ,Ontario Ministry of Natural Resources,Branched Bartonia ,Bartonia paniculata,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRNCHD_BRTNIA_EN.html,,,,
66,Bridle Shiner ,Ontario Ministry of Natural Resources,Bridle Shiner ,Notropis bifrenatus,~,Special concern species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRDL_SHNR_EN.html,,,,
67,Broad Beech Fern ,Ontario Ministry of Natural Resources,Broad Beech Fern ,Phegopteris hexagonoptera,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRD_BCH_FRN_EN.html,,,,
68,Butler's Gartersnake ,Ontario Ministry of Natural Resources,Butler's Gartersnake ,Thamnophis butleri,~,Endangered species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BTLRS_GRTRSNK_EN.html,,,,
69,Cerulean Warbler ,Ontario Ministry of Natural Resources,Cerulean Warbler ,Dendroica cerulea,~,Threatened species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CRLN_WRBLR_EN.html,,,,
70,Channel Darter ,Ontario Ministry of Natural Resources,Channel Darter ,Percina copelandi,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CHNNL_DRTR_EN.html,,,,
71,Cherry Birch ,Ontario Ministry of Natural Resources,Cherry Birch ,Betula lenta,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CHRRY_BRCH_EN.html,,,,
